fold,model,train_rows,calibration_rows,test_rows,test_start,test_end,mae_normalized,rmse_normalized,smape_percent
1,persistence_lag_1,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.20239472030378403,0.24925297803468613,60.63959161974708
1,seasonal_naive_lag_48,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.20071594278678467,0.24630330708107676,59.930712392899785
1,linear_regression,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.14130070627223784,0.1713683257923646,42.193481019063135
1,random_forest,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.14174689747455105,0.1725499722542111,42.18813086453552
1,hist_gradient_boosting,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.14591878383629234,0.17950285021132673,43.40554395894425
1,compact_edge_linear_float32,2264,400,400,2024-03-03T12:00:00,2024-03-11T19:30:00,0.14130070681788662,0.17136832618916037,42.19348120699935
2,persistence_lag_1,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.1888714297790231,0.239525261881864,56.54908526485769
2,seasonal_naive_lag_48,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.19441509356505762,0.24175619730712564,58.460753905687014
2,linear_regression,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.1332695009975003,0.1685469183682908,39.39173889169895
2,random_forest,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.13391022649934572,0.16896147279904242,39.53129295651655
2,hist_gradient_boosting,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.14156050284000005,0.17620470301357116,41.60149165773849
2,compact_edge_linear_float32,2664,400,400,2024-03-11T20:00:00,2024-03-20T03:30:00,0.1332695002857841,0.16854691752548315,39.39173879052113
3,persistence_lag_1,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.18955126215923773,0.23235311910921722,59.05896653570931
3,seasonal_naive_lag_48,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.18568193772686634,0.2287706985070632,57.73491891219319
3,linear_regression,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.13056006023563632,0.16379881652796202,39.945120268332545
3,random_forest,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.13316993193186485,0.16673294537036515,40.511279059092985
3,hist_gradient_boosting,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.13653195004663876,0.1718931438087405,41.42930647456508
3,compact_edge_linear_float32,3064,400,400,2024-03-20T04:00:00,2024-03-28T11:30:00,0.13056006065785958,0.1637988169827621,39.94512021758807
4,persistence_lag_1,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.1885447268293037,0.22975190194328834,58.81021452983778
4,seasonal_naive_lag_48,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.17788182472112532,0.23002296132611924,55.83776115654525
4,linear_regression,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.1321896670744317,0.16058100285763807,40.512615115490846
4,random_forest,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.13463714634465873,0.1639997160744804,40.97426431713864
4,hist_gradient_boosting,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.1411500482728829,0.17112531874339632,42.55630140194738
4,compact_edge_linear_float32,3464,400,400,2024-03-28T12:00:00,2024-04-05T19:30:00,0.132189666922708,0.16058100269435704,40.512615070556016
5,persistence_lag_1,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.1881368716843506,0.234447544859809,57.42537979363425
5,seasonal_naive_lag_48,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.18535100794477435,0.22987592775426466,56.573065501678435
5,linear_regression,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.1319693000951942,0.16555559005864098,39.727561474348505
5,random_forest,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.13271523993768547,0.16772212363430014,39.760141498389615
5,hist_gradient_boosting,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.1354170835027362,0.172385251604633,40.41924026015373
5,compact_edge_linear_float32,3864,400,400,2024-04-05T20:00:00,2024-04-14T03:30:00,0.13196929964994053,0.16555558987456898,39.72756134320496
